GEOID,DIST
121079502013131,3
121079506002038,3
121079502013266,3
121079509005016,4
121079510003000,1
121079507004029,4
121079503001158,5
121079503001142,5
121079505002016,3
121079509001013,4
121079509001014,4
121079507001105,4
121079514021050,2
121079501003025,3
121079503003183,5
121079514012014,2
121079502012165,3
121079504002026,5
121079503001055,5
121079502022076,3
121079502012045,3
121079503001115,5
121079505004009,5
121079503004015,5
121079505001034,3
121079507001016,4
121079501003000,1
121079507002048,4
121079508002056,4
121079514011029,2
121079512003002,1
121079512003004,1
121079512003044,2
121079514021030,2
121079512003057,2
121079507002060,4
121079502021013,3
121079508004054,1
121079514013037,2
121079514023027,2
121079503001010,5
121079514023024,2
121079502011045,5
121079504001009,5
121079502022078,3
121079513001090,2
121079505002012,3
121079512003011,1
121079503004032,5
121079514022034,2
121079502013146,3
121079508001013,4
121079502011015,5
121079512004012,1
121079505001081,3
121079508003034,4
121079512003072,2
121079506003057,4
121079502013274,3
121079508001037,4
121079503003202,5
121079504001010,5
121079503001033,5
121079513001077,2
121079514013052,2
121079514012006,2
121079513001065,2
121079513002015,2
121079501002006,1
121079513002104,2
121079511003020,1
121079506002007,4
121079511003002,1
121079503003120,5
121079503003002,5
121079509001025,4
121079514021073,2
121079502022075,3
121079505001073,3
121079514011022,2
121079513002111,2
121079512005032,2
121079513002022,2
121079513001047,2
121079503003030,5
121079503001144,5
121079505002004,3
121079505003012,5
121079514021060,2
121079512003024,1
121079514022013,2
121079503003050,5
121079503003200,5
121079502022135,3
121079502022047,3
121079505004104,5
121079507002068,4
121079502013223,3
121079503004025,5
121079512005019,2
121079503003164,5
121079502014051,5
121079505003054,5
121079506001007,3
121079506003068,3
121079502014038,5
121079514022020,2
121079502013068,3
121079503002017,5
121079503003110,5
121079504001020,5
121079502013178,3
121079502013189,5
121079502011075,3
121079507002084,4
121079507003003,4
121079512004052,1
121079505004029,5
121079505002082,5
121079511001018,1
121079514013074,2
121079505003018,5
121079501002003,1
121079507002036,4
121079502013206,5
121079512005003,2
121079505002102,3
121079514023030,2
121079504002014,5
121079512004027,1
121079511002012,1
121079509003011,4
121079510001035,1
121079505001071,2
121079512002017,2
121079505002025,3
121079506001014,3
121079505001049,3
121079510001042,1
121079502022013,3
121079511002021,1
121079502013021,3
121079514021042,2
121079514013031,2
121079511002005,1
121079512004077,1
121079505004035,5
121079505001018,3
121079513002123,2
121079511003034,1
121079502013205,5
121079508004041,4
121079502013104,3
121079503003136,5
121079503003127,5
121079503002063,5
121079502011004,3
121079505003030,5
121079513002143,2
121079503001190,5
121079502011013,5
121079502011073,3
121079505002019,3
121079513001006,2
121079502013230,3
121079512004020,1
121079510003024,1
121079502013043,3
121079502013016,3
121079502013056,3
121079502013209,3
121079507003008,4
121079508002059,4
121079514023029,2
121079512004050,1
121079506002016,3
121079503002058,5
121079505002048,3
121079502022070,3
121079508002060,4
121079502013243,3
121079508004028,4
121079507003025,4
121079512005014,2
121079506003042,4
121079514021055,2
121079514021063,2
121079503003044,5
121079503003027,5
121079508003037,1
121079502022061,3
121079503003113,5
121079503003151,5
121079514021011,2
121079511001000,1
121079503001071,5
121079502014080,5
121079511003028,1
121079509001017,1
121079513002057,2
121079507004031,4
121079514011007,2
121079505001083,3
121079513001035,2
121079503001191,5
121079511003031,1
121079512003042,2
121079503002016,5
121079511002043,1
121079503002065,5
121079502013090,3
121079512003063,2
121079502013196,5
121079502013246,3
121079505003026,5
121079512001011,1
121079502022109,3
121079502011038,5
121079514013054,2
121079502013123,3
121079501003019,3
121079503003022,5
121079505003048,5
121079513001007,2
121079514011043,2
121079502013142,3
121079502013138,3
121079502013239,3
121079505004081,5
121079514013017,2
121079506003058,4
121079512003003,1
121079507002016,4
121079504001003,5
121079503004016,5
121079514013049,2
121079505003017,3
121079501002038,1
121079503003006,5
121079502013175,3
121079510003023,1
121079505004117,5
121079511004005,1
121079502012157,5
121079503004010,5
121079503001235,5
121079506002021,3
121079507001084,4
121079501003021,3
121079503003061,5
121079513002152,2
121079503001234,5
121079503001131,5
121079514021095,2
121079505003015,5
121079511004004,1
121079503001183,5
121079507003001,4
121079501001015,1
121079512001031,2
121079502021002,3
121079514021048,2
121079502011010,3
121079513002031,2
121079507002028,4
121079502011077,3
121079506003064,4
121079502021003,3
121079502011006,3
121079503001211,5
121079505002080,5
121079501001026,1
121079501003029,3
121079502013047,3
121079501003049,1
121079507003000,4
121079507001078,4
121079507002043,4
121079505004041,5
121079512003056,2
121079505001010,3
121079503002032,5
121079503003132,5
121079501003010,3
121079502012106,3
121079502014014,5
121079502012102,3
121079512004056,1
121079505001003,3
121079508004007,4
121079503003071,5
121079505002011,3
121079513002028,2
121079503001075,5
121079503004061,5
121079503001087,5
121079510003008,1
121079503003129,5
121079513002149,2
121079502012005,3
121079509001010,4
121079501003001,1
121079513002025,2
121079502022040,3
121079501003054,1
121079503001239,5
121079511004001,1
121079512001054,2
121079514012007,2
121079503001100,5
121079505001036,3
121079512004068,1
121079512004065,1
121079505001047,3
121079507002030,4
121079505004046,5
121079503001218,5
121079509001037,1
121079502011016,5
121079502013216,5
121079502012049,3
121079502013164,3
121079505004096,5
121079505002020,3
121079513002122,2
121079502011005,3
121079514021015,2
121079503004033,5
121079506001016,2
121079502013105,3
121079508001038,4
121079508001021,4
121079504002002,5
121079505002084,5
121079513002035,2
121079507001068,4
121079509005000,1
121079514013045,2
121079507001089,4
121079506001006,3
121079503002007,5
121079507001080,4
121079501003048,1
121079503001148,5
121079514023000,2
121079513001088,2
121079509006011,4
121079502022001,3
121079502021008,3
121079506002012,4
121079513002154,2
121079513002112,2
121079502014067,3
121079513002012,2
121079503001121,5
121079512002023,2
121079503001124,5
121079513002004,2
121079503003001,5
