GEOID,DIST
010730129073009,5
010730129172013,5
011170303472016,2
011170303042053,0
010730144143026,5
010730129072010,0
010730142083005,1
010730144122037,4
010730142083010,1
010730144053011,4
010730144092016,5
011170303524008,0
011170302161020,2
010730129071000,0
010730143034076,3
010730129083007,5
010730129083004,5
010730129172011,5
010730144041056,4
010730144152014,3
010730142082015,1
010730144152022,3
010730142093005,3
011170303473019,2
010730142081001,3
011170303461012,2
011170302201018,2
011170303142030,0
011170303522002,0
011170303044021,0
011170303041006,0
011170302162000,2
011170303462036,0
010730142082005,1
010730129082003,5
010730144062023,5
011170303044038,2
010730144081001,6
011170303044008,0
011170303302005,2
011170303461022,2
011170303044020,0
010730142083013,1
010730129071017,0
010730143034020,3
010730144143034,5
011170303302006,2
011170303483002,2
010730144122053,4
010730144052023,4
010730142093020,3
010730144091024,5
011170302123001,2
010730144064005,5
011170303462034,0
011170303461026,2
011170303042016,2
010730129084022,5
011170303473030,2
011170303041020,0
011170303303005,2
011170303523054,0
011170303523043,0
011170303522009,0
010730129072001,0
010730144101011,0
010730144091051,5
010730144091031,5
010730143034041,3
010730129133002,6
011170303472005,2
011170303501036,1
011170303051003,0
011170303044023,0
010730142052031,1
010730129132003,6
010730144142001,3
010730143034021,3
011170303041007,0
011170303473011,2
010730144121004,3
011170302202009,2
011170303473033,2
010730144092015,5
010730144102012,6
011170303303020,2
011170303511021,1
010730129073020,5
011170303512029,1
011170303501015,1
011170303521006,1
011170303523044,0
011170303044001,0
010730143034045,3
010730142082013,1
010730144063016,4
010730144063007,4
010730142093030,3
010730142093021,3
011170303041044,0
011170302202020,2
011170303523000,0
011170303523010,1
010730142081009,1
010730144041032,4
010730129191001,6
010730129073037,5
011170303042047,0
011170302202013,2
011170302211011,2
011170303523053,0
011170303041004,0
011170303041035,0
011170303303003,2
011170303303007,2
011170303473045,2
011170303042041,0
011170303053026,0
011170302201014,2
011170303511008,1
011170302162006,2
010730144143005,4
010730144062006,4
010730144052001,4
010730129073002,5
010730142084005,1
010730144061014,4
010730142093023,3
010730129073016,5
010730144061013,4
011170303044003,0
011170302202001,2
011170303512010,1
011170303043000,0
010730144141015,1
010730144063024,4
010730144102009,6
010730142093001,3
